(Index, Key, Element)
(0,92253,c)
(1,148225,j)
(2,112336,^)
(3,148228,2)
(4,148271,6)
(5,148222,a)
(6,148243,Y)
(7,148229,')
(8,148234,M)
(9,148326,q)
(10,148287,q)
(11,148227,B)
(12,148251,[)
(13,148258,i)
(14,148388,/)
(15,148276,2)
(16,148268,o)
(17,148253,5)
(18,148267,|)
(19,148419,<)
(20,148366,K)
(21,148321,9)
(22,148298,E)
(23,148239,l)
(24,148255,l)
(25,148405,8)
(26,148380,J)
(27,148294,H)
(28,148266,G)
(29,148518,2)
(30,148531,T)
(31,148502,:)
(32,148312,l)
(33,148280,L)
(34,148302,b)
(35,148371,")
(36,148292,E)
(37,148284,1)
(38,148328,J)
(39,148432,R)
(40,148458,U)
(41,148429,m)
(42,148434,g)
(43,148451,x)
(44,148336,M)
(45,148332,8)
(46,148589,")
(47,148248,+)
(48,148561,u)
(49,148261,w)
(50,148282,<)
(51,148505,+)
(52,148564,+)
(53,148716,7)
(54,148385,8)
(55,148436,i)
(56,148443,M)
(57,148521,\)
(58,148316,K)
(59,148895,C)
(60,148652,o)
(61,148665,c)
(62,148571,4)
(63,148557,7)
(64,148624,a)
(65,148410,&)
(66,148466,})
(67,148701,h)
(68,148327,T)
(69,148324,()
(70,148322,-)
(71,148423,4)
(72,148438,$)
(73,148317,%)
(74,148490,b)
(75,148494,G)
(76,148529,7)
(77,148486,r)
(78,148568,-)
(79,148462,3)
(80,148666,r)
(81,148513,|)
(82,148478,g)
(83,148483,))
(84,148584,>)
(85,148753,K)
(86,148506,z)
(87,148464,e)
(88,148626,z)
(89,148338,Z)
(90,148392,:)
(91,148350,f)
(92,148903,P)
(93,148618,j)
(94,148658,5)
(95,148307,i)
(96,148520,q)
(97,148819,!)
(98,149140,#)
(99,148776,j)
(100,148345,h)
(101,148614,q)
(102,148418,y)
(103,148656,v)
(104,148687,=)
(105,148738,?)
(106,149021,j)
(107,149115,P)
(108,149446,x)
(109,148497,W)
(110,148424,`)
(111,148722,?)
(112,149394,Y)
(113,148731,V)
(114,148777,y)
(115,148944,=)
(116,148829,B)
(117,148362,r)
(118,148654,y)
(119,149044,!)
(120,148910,/)
(121,149247,^)
(122,148678,a)
(123,148752,_)
(124,148826,%)
(125,148630,8)
(126,148683,C)
(127,149698,%)
(128,148599,I)
(129,148748,+)
(130,148886,Y)
(131,148860,Y)
(132,148474,t)
(133,148646,^)
(134,149173,S)
(135,148762,V)
(136,149063,Q)
(137,148512,1)
(138,148355,!)
(139,148446,_)
(140,148539,')
(141,148847,D)
(142,148337,5)
(143,148524,9)
(144,148920,t)
